date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),Tlog (degC),OT
2020/5/1 0:00,977.79,11.19,286.18,4.58,63.69,13.31,8.48,4.83,5.41,8.67,1193.98,4.73,7.05,210.6,20.3,419.2
2020/5/1 0:10,977.85,11.2,286.19,4.23,62.1,13.32,8.27,5.05,5.28,8.46,1194.1,4.25,7.49,219,20.23,419.8
2020/5/1 0:20,977.9,11.13,286.11,3.93,61.07,13.26,8.1,5.16,5.17,8.28,1194.54,3.25,4.85,219.7,20.17,419.2
2020/5/1 0:30,977.95,10.86,285.84,3.8,61.62,13.02,8.02,5,5.12,8.2,1195.77,3.35,4.81,222.9,20.14,418.9
2020/5/1 0:40,977.99,10.64,285.61,3.88,62.87,12.83,8.07,4.76,5.15,8.25,1196.73,3.29,5.77,216.6,20.11,418.8
2020/5/1 0:50,977.87,10.57,285.55,4.02,63.81,12.77,8.15,4.62,5.2,8.33,1196.84,3.07,5.21,197.5,20.06,419.1
2020/5/1 1:00,977.75,10.58,285.57,4.41,65.52,12.78,8.37,4.41,5.34,8.56,1196.54,3.03,4.85,189.5,20,419.6
2020/5/1 1:10,977.75,10.46,285.45,4.71,67.46,12.68,8.55,4.13,5.46,8.75,1196.97,2.62,4.65,189.5,19.93,419.9
2020/5/1 1:20,977.59,10.33,285.33,4.87,68.83,12.57,8.65,3.92,5.52,8.85,1197.27,3.72,5.33,192,19.88,420.3
2020/5/1 1:30,977.53,10.26,285.27,5.07,70.1,12.51,8.77,3.74,5.6,8.97,1197.44,4.17,5.73,191.8,19.83,420.4
2020/5/1 1:40,977.59,10.22,285.22,5.11,70.5,12.48,8.8,3.68,5.62,9,1197.67,3.73,4.91,188,19.76,420.4
2020/5/1 1:50,977.53,10.15,285.16,5.1,70.8,12.42,8.79,3.63,5.61,8.99,1197.89,2.36,3,193.7,19.69,420.8
2020/5/1 2:00,977.34,10.08,285.1,5.16,71.4,12.36,8.83,3.53,5.64,9.03,1197.94,2.24,2.92,184.4,19.62,421.5
2020/5/1 2:10,977.34,9.84,284.86,5.16,72.6,12.16,8.83,3.33,5.64,9.03,1198.95,2.14,3.04,194.2,19.57,422.8
2020/5/1 2:20,977.39,9.61,284.63,5.2,73.9,11.98,8.85,3.13,5.65,9.05,1199.98,2.19,2.96,193.2,19.54,422.9
2020/5/1 2:30,977.32,9.53,284.55,5.22,74.4,11.91,8.86,3.05,5.66,9.07,1200.23,1.92,2.6,187.2,19.51,423.7
2020/5/1 2:40,977.25,9.27,284.3,5.14,75.3,11.7,8.81,2.89,5.63,9.02,1201.27,1.97,2.76,193.1,19.47,424.6
2020/5/1 2:50,977.05,9.11,284.15,5.15,76.2,11.58,8.82,2.76,5.64,9.03,1201.7,1.91,2.48,185.8,19.43,424.9
2020/5/1 3:00,976.93,9.01,284.06,5.09,76.4,11.5,8.79,2.71,5.61,8.99,1201.99,1.93,2.84,195.6,19.38,424
2020/5/1 3:10,976.81,9.01,284.07,5.08,76.3,11.5,8.78,2.73,5.61,8.98,1201.85,2.14,3.08,210.5,19.33,422.5
2020/5/1 3:20,976.73,9.03,284.1,5.15,76.6,11.52,8.82,2.69,5.64,9.03,1201.65,2.07,3.36,197.2,19.26,422.9
2020/5/1 3:30,976.67,9.1,284.17,5.16,76.3,11.57,8.83,2.74,5.64,9.04,1201.27,2.13,2.88,207.5,19.18,422.5
2020/5/1 3:40,976.66,9.1,284.17,5.2,76.5,11.57,8.85,2.72,5.66,9.06,1201.25,2.18,3.36,205.8,19.11,422.9
2020/5/1 3:50,976.64,9,284.07,5.22,77.1,11.49,8.86,2.63,5.66,9.07,1201.64,2.18,3.24,200.1,19.03,424
2020/5/1 4:00,976.63,8.76,283.83,5.22,78.4,11.31,8.87,2.44,5.67,9.08,1202.65,2.3,3.53,205.6,18.95,425.4
2020/5/1 4:10,976.64,8.7,283.77,5.18,78.5,11.26,8.84,2.42,5.65,9.05,1202.93,2.78,3.77,193.7,18.88,426
2020/5/1 4:20,976.58,8.83,283.91,5.05,77.1,11.36,8.76,2.6,5.6,8.97,1202.34,3.05,5.37,199,18.81,424.9
2020/5/1 4:30,976.55,9.46,284.54,5.01,73.7,11.86,8.74,3.12,5.58,8.95,1199.64,4.3,6.29,204.9,18.75,424.2
2020/5/1 4:40,976.55,9.76,284.85,5.07,72.5,12.1,8.77,3.33,5.61,8.98,1198.35,4.89,7.49,206.4,18.7,424.1
2020/5/1 4:50,976.62,9.95,285.03,5.13,71.9,12.25,8.81,3.44,5.63,9.02,1197.61,4.33,5.65,211.1,18.66,423.5
2020/5/1 5:00,976.72,9.91,284.98,5.13,72.1,12.22,8.81,3.41,5.63,9.02,1197.9,4.91,7.81,216.5,18.62,423.1
2020/5/1 5:10,976.73,9.68,284.75,5.09,73,12.03,8.78,3.25,5.61,8.99,1198.9,3.83,5.61,212.5,18.57,424
2020/5/1 5:20,976.72,9.45,284.52,5.02,73.8,11.85,8.74,3.1,5.59,8.95,1199.88,3.69,5.29,210.5,18.52,424.4
2020/5/1 5:30,976.79,9.2,284.26,4.92,74.5,11.65,8.68,2.97,5.55,8.89,1201.06,3.67,5.69,217.7,18.48,424.1
2020/5/1 5:40,976.97,9.38,284.43,4.94,73.7,11.79,8.69,3.1,5.55,8.9,1200.51,3.08,4.69,221.9,18.44,423.4
2020/5/1 5:50,977.13,9.88,284.92,4.94,71.3,12.2,8.7,3.5,5.55,8.9,1198.59,2.76,4.41,208.9,18.42,423.1
2020/5/1 6:00,977.2,10.21,285.25,4.89,69.47,12.47,8.66,3.81,5.53,8.86,1197.29,3.07,4.65,206.9,18.44,422.4
2020/5/1 6:10,977.13,10.41,285.45,4.63,67.33,12.64,8.51,4.13,5.43,8.71,1196.44,5.33,7.53,206.8,18.53,421.4
2020/5/1 6:20,977.15,10.47,285.51,4.48,66.32,12.69,8.41,4.27,5.37,8.61,1196.25,5.76,8.53,208.1,18.66,420.7
2020/5/1 6:30,977.16,10.48,285.52,4.35,65.69,12.7,8.34,4.36,5.33,8.53,1196.26,6.5,9.81,209.7,18.79,419.9
2020/5/1 6:40,977.15,10.54,285.58,4.26,65.02,12.75,8.29,4.46,5.29,8.48,1196.01,6.7,8.73,208.5,18.91,419.5
2020/5/1 6:50,977.22,10.57,285.61,4.16,64.45,12.77,8.23,4.54,5.26,8.42,1196,6.17,8.49,208.7,19.04,419.1
2020/5/1 7:00,977.3,10.67,285.7,4.11,63.78,12.86,8.2,4.66,5.24,8.39,1195.69,6.4,9.09,206.5,19.17,418.6
2020/5/1 7:10,977.32,10.74,285.77,4.07,63.32,12.92,8.18,4.74,5.22,8.37,1195.43,6.37,8.37,208.7,19.33,417.9
2020/5/1 7:20,977.28,10.82,285.85,4.13,63.24,12.99,8.21,4.77,5.24,8.4,1195.03,6.09,8.81,205.1,19.5,417.5
2020/5/1 7:30,977.34,10.7,285.73,4.12,63.7,12.88,8.21,4.68,5.24,8.4,1195.61,5.17,8.01,212.9,19.71,417
2020/5/1 7:40,977.27,10.68,285.71,4.06,63.53,12.87,8.17,4.69,5.22,8.36,1195.62,7.59,10.99,211.8,19.91,416.5
2020/5/1 7:50,977.21,10.81,285.85,4.21,63.62,12.98,8.26,4.72,5.27,8.45,1194.96,5.01,8.53,208.6,20.07,416
2020/5/1 8:00,977.1,11.33,286.38,4.42,62.38,13.43,8.38,5.05,5.35,8.58,1192.59,5.47,11.77,201.6,20.21,416
2020/5/1 8:10,977.06,11.55,286.61,4.51,61.87,13.63,8.43,5.2,5.39,8.63,1191.59,7.6,11.09,205,20.44,415.9
2020/5/1 8:20,977.19,12.11,287.16,4.85,61.05,14.15,8.64,5.51,5.52,8.84,1189.32,6.55,9.09,211.1,20.77,415.4
2020/5/1 8:30,977.15,11.94,286.99,4.75,61.34,13.99,8.58,5.41,5.48,8.78,1190.01,7.53,12.01,220.5,21.16,415.4
2020/5/1 8:40,977.14,12.03,287.08,4.93,61.75,14.07,8.69,5.38,5.55,8.89,1189.57,5.57,9.13,213.3,21.5,415.3
2020/5/1 8:50,977.1,12.04,287.1,4.83,61.24,14.08,8.62,5.46,5.51,8.83,1189.51,7.24,10.01,213.7,21.76,415.7
2020/5/1 9:00,977.1,11.93,286.99,4.71,61.18,13.98,8.55,5.43,5.46,8.75,1190,7.39,11.13,212.8,21.95,416.2
2020/5/1 9:10,977.12,11.75,286.8,4.61,61.5,13.81,8.5,5.32,5.43,8.69,1190.8,7.64,12.59,213.4,22.06,416.6
2020/5/1 9:20,977.11,12.24,287.3,4.83,60.45,14.27,8.62,5.64,5.51,8.83,1188.69,7.39,10.21,214.4,22.09,416.2
2020/5/1 9:30,977.16,12.55,287.6,5.02,60.04,14.56,8.74,5.82,5.58,8.95,1187.4,5.45,9.41,218.3,22.13,416.1
2020/5/1 9:40,977.2,12.89,287.94,5.13,59.16,14.89,8.81,6.08,5.63,9.01,1186.01,4.99,9.91,215.8,22.29,415.8
2020/5/1 9:50,977.24,12.55,287.6,4.57,58.17,14.56,8.47,6.09,5.41,8.67,1187.63,6.38,8.89,214.2,22.53,416.3
2020/5/1 10:00,977.19,12.01,287.06,4.39,59.53,14.05,8.37,5.69,5.34,8.56,1189.86,7.43,11.07,217.3,22.76,416.8
2020/5/1 10:10,977.14,11.93,286.98,4.49,60.25,13.98,8.42,5.56,5.38,8.62,1190.11,6.29,9.41,213.5,22.87,416.4
2020/5/1 10:20,977.01,12.35,287.42,4.71,59.5,14.37,8.55,5.82,5.46,8.75,1188.14,6.51,10.13,216.1,22.86,416.4
2020/5/1 10:30,976.88,12.82,287.9,4.62,57.33,14.82,8.5,6.32,5.43,8.7,1186.05,8.48,11.01,212.5,22.84,416.8
2020/5/1 10:40,976.84,12.74,287.82,4.49,57.13,14.74,8.42,6.32,5.38,8.62,1186.37,7.12,12.05,210.8,22.86,416.6
2020/5/1 10:50,976.81,13.2,288.29,4.5,55.48,15.2,8.43,6.77,5.39,8.63,1184.42,7.48,10.77,209.8,22.94,415.9
2020/5/1 11:00,976.81,12.99,288.08,4.11,54.72,14.99,8.2,6.79,5.24,8.4,1185.4,6.95,10.37,212.6,23.04,416.1
2020/5/1 11:10,976.75,13.07,288.16,4.1,54.4,15.07,8.2,6.87,5.24,8.39,1185,9.04,13.01,209.6,23.16,416.2
2020/5/1 11:20,976.64,13.12,288.22,4.19,54.57,15.12,8.25,6.87,5.27,8.45,1184.63,7.59,11.81,202.4,23.26,416.3
2020/5/1 11:30,976.54,13.15,288.26,3.83,53.07,15.15,8.04,7.11,5.14,8.23,1184.48,7.31,11.35,203.3,23.37,416.4
2020/5/1 11:40,976.37,13.44,288.57,3.89,52.31,15.44,8.07,7.36,5.16,8.27,1183.06,5.42,9.65,199.1,23.5,416.3
2020/5/1 11:50,976.29,13.86,289,4.03,51.4,15.86,8.15,7.71,5.21,8.35,1181.2,6.75,11.45,206.9,23.65,415.7
2020/5/1 12:00,976.2,14.1,289.25,4.04,50.64,16.11,8.16,7.95,5.22,8.36,1180.1,6.55,9.57,219.6,23.83,415.2
2020/5/1 12:10,976.06,14.2,289.36,3.98,50.1,16.22,8.13,8.09,5.19,8.32,1179.53,6.29,9.13,212.9,24.03,415.1
2020/5/1 12:20,976.08,14.03,289.19,4.5,52.53,16.04,8.43,7.61,5.39,8.63,1180.12,6.27,8.81,214,24.23,414.5
2020/5/1 12:30,975.93,13.8,288.97,4.48,53.27,15.8,8.42,7.38,5.38,8.63,1180.89,5.52,9.81,207.6,24.41,414.3
2020/5/1 12:40,975.8,13.83,289.01,4.06,51.62,15.83,8.17,7.66,5.23,8.38,1180.72,6.95,10.57,210.5,24.53,414.6
2020/5/1 12:50,976.07,13.64,288.79,4.49,53.86,15.64,8.42,7.22,5.38,8.63,1181.71,6.98,12.45,227.1,24.57,414.5
2020/5/1 13:00,976.86,10.2,285.26,5.82,74.2,12.46,9.25,3.21,5.91,9.46,1196.65,6.94,12.85,227.8,24.6,416.2
2020/5/1 13:10,977.09,8.2,283.23,5.65,83.9,10.89,9.13,1.75,5.83,9.35,1205.49,6.42,9.17,219,24.44,417.2
2020/5/1 13:20,977.01,7.92,282.96,5.61,85.3,10.68,9.11,1.57,5.82,9.32,1206.6,5.12,9.37,213.1,23.89,417.8
2020/5/1 13:30,976.81,7.87,282.92,5.76,86.5,10.64,9.21,1.44,5.88,9.43,1206.52,2.88,4.04,214.9,23.15,418
2020/5/1 13:40,976.63,8.14,283.21,5.9,85.7,10.84,9.29,1.55,5.94,9.51,1205.1,3.31,5.09,207.8,22.32,418.1
2020/5/1 13:50,976.52,8.71,283.79,6.17,84,11.27,9.47,1.8,6.05,9.69,1202.45,3.73,5.29,202.7,21.56,417.9
2020/5/1 14:00,976.35,9.41,284.51,6.36,81.2,11.82,9.59,2.22,6.13,9.83,1199.2,3.83,6.67,205.1,21.06,416.4
2020/5/1 14:10,976.22,9.86,284.97,6.18,77.8,12.18,9.48,2.7,6.06,9.71,1197.19,4.32,6.25,202.7,20.8,416.1
2020/5/1 14:20,976.12,10.53,285.66,6.74,77.3,12.74,9.85,2.89,6.3,10.09,1194.07,4.28,6.45,204.4,20.74,415.3
2020/5/1 14:30,976.05,11.3,286.44,6.51,72.3,13.41,9.69,3.71,6.2,9.93,1190.82,4.82,7.33,202,20.83,415.1
2020/5/1 14:40,975.91,11.92,287.08,6.5,69.34,13.97,9.69,4.28,6.2,9.93,1188.06,6.18,10.53,204.5,21.05,414.6
2020/5/1 14:50,975.78,12,287.17,6.33,68.16,14.04,9.57,4.47,6.12,9.81,1187.62,6.47,9.05,220.5,21.34,414
2020/5/1 15:00,975.73,12.33,287.5,6.58,67.86,14.35,9.74,4.61,6.23,9.98,1186.11,5.15,7.41,204.2,21.59,413.6
2020/5/1 15:10,975.63,12.75,287.93,6.09,63.84,14.75,9.42,5.34,6.03,9.65,1184.4,6.54,9.17,207.4,21.81,413.7
2020/5/1 15:20,975.63,13,288.19,5.55,60.49,15,9.07,5.93,5.8,9.3,1183.52,7.38,9.45,208.3,22.02,414.1
2020/5/1 15:30,975.68,12.8,287.98,5.48,60.99,14.8,9.03,5.77,5.78,9.25,1184.43,6.59,8.49,218,22.21,413.8
2020/5/1 15:40,975.71,12.69,287.87,5.43,61.22,14.7,9,5.7,5.76,9.22,1184.94,6.2,8.17,211.1,22.32,413.8
2020/5/1 15:50,975.7,12.52,287.7,5.6,62.61,14.53,9.1,5.43,5.82,9.33,1185.58,5.66,7.37,208.4,22.36,413.7
2020/5/1 16:00,975.73,12.01,287.18,6.01,66.64,14.05,9.37,4.69,5.99,9.6,1187.62,5.07,7.33,218.1,22.32,414.5
2020/5/1 16:10,975.78,11.73,286.89,6.49,70.2,13.8,9.68,4.11,6.2,9.92,1188.7,3.57,4.81,206.4,22.24,414.6
2020/5/1 16:20,975.87,11.82,286.98,6.38,69.25,13.88,9.61,4.27,6.15,9.85,1188.47,5.02,7.21,211.5,22.06,414.2
